Lat,Lon,Best_Model,R2
27.0,75.5,RNN,-0.17479885168366405
27.0,75.75,SARIMA,-1.3987014900398353
27.0,76.0,PCHIP,0.17555176757946367
27.0,76.25,LSTM,-0.4435375306674121
27.0,76.5,RNN,-0.32917704541030557
27.0,76.75,SARIMA,-0.05546238935482495
27.0,77.0,PCHIP,-5.51653006771903
27.0,77.25,RNN,-6.918011789832467
27.0,77.5,SARIMA,-4.450642449390349
27.0,77.75,SARIMA,-1.2361728849986884
27.0,78.25,LSTM,-26.289366404882326
27.0,78.5,SARIMA,-0.9928385733902223
27.0,78.75,SARIMA,-0.2882686967555286
27.0,79.0,SARIMA,0.6378033897106679
27.0,79.25,LSTM,-0.7378845823909783
27.0,79.5,RNN,-1.6174058627946208
27.0,79.75,SARIMA,-6.7323367089522375
27.0,80.0,RNN,-0.43870590137615917
27.0,80.25,RNN,0.23540119130816817
27.0,80.5,RNN,-0.4519280900943874
27.0,80.75,LSTM,-0.24296465250395416
27.0,81.0,RNN,0.5131979928757728
27.0,81.25,LSTM,-0.0334355114111613
27.0,81.5,LSTM,-0.06907315347904652
27.0,81.75,LSTM,0.04621405230094
27.0,82.0,SARIMA,-5.153498837228406
27.0,82.25,SARIMA,-0.04926125143006255
27.0,82.5,RNN,0.444609174794243
27.0,82.75,LSTM,0.027755909188627137
27.0,83.0,SARIMA,0.4865863426588727
27.0,83.25,SARIMA,-0.2620080202088433
27.0,83.5,RNN,0.05265960913877421
27.0,83.75,LSTM,-0.10838793477019792
27.0,84.0,SARIMA,-0.04746745838826216
27.25,70.0,RNN,-0.6819775563989487
27.25,70.25,RNN,-1.1984433499843514
27.25,70.5,LSTM,0.0203792806828198
27.25,70.75,SARIMA,-7.646252656847718
27.25,71.5,RNN,-4.38263916136092
27.25,71.75,SARIMA,-0.17127164062309874
27.25,72.25,RNN,-0.2788914890270815
27.25,73.5,LSTM,-9.307117584168033
27.25,74.0,PCHIP,0.21726644985966903
27.25,74.25,SARIMA,-1.5623085563987034e+25
27.25,74.5,LSTM,0.009345553451522437
27.25,75.0,PCHIP,-0.002577328531037315
27.25,75.25,RNN,-3.150867372960187
27.25,75.5,SARIMA,0.5114361408914121
27.25,75.75,SARIMA,-3.369429174469145
27.25,76.0,PCHIP,0.0
27.25,76.25,SARIMA,-1.7192530192459956
27.25,76.5,PCHIP,-0.022154652637701888
27.25,76.75,RNN,-1.9202426153258032
27.25,77.25,PCHIP,-0.22258075341001904
27.25,77.5,SARIMA,-11.283582187405003
27.25,77.75,SARIMA,-0.47575191718818344
27.25,78.0,RNN,-1.0533334084008277
27.25,78.25,LSTM,0.028977750056849327
27.25,78.5,RNN,-0.09565528379149657
27.25,78.75,RNN,0.0001952328492097477
27.25,79.0,LSTM,-0.7432546342954092
27.25,79.25,SARIMA,-0.4205237343387844
27.25,79.5,LSTM,-8.792883884619016
27.25,79.75,SARIMA,-0.4205870761326467
27.25,80.0,SARIMA,-0.12160772617920301
27.25,80.25,LSTM,0.05547812880028302
27.25,80.5,LSTM,-2.23788334059843
27.25,80.75,SARIMA,-0.5921957599945009
27.25,81.0,RNN,0.2170133619468788
27.25,81.25,SARIMA,0.35365074760531945
27.25,81.5,SARIMA,0.2148073057820763
27.25,82.0,RNN,0.6540821641522272
